slug,provider,offer,actionButtons,chain,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance
abdk,,!offer:abdk,,mainnet,,,,,,,,,,,,
aderyn,,!offer:aderyn,,mainnet,,,,,,,,,,,,
aegis-web3,,!offer:aegis-web3,,mainnet,,,,,,,,,,,,
audit-base-pay-as-you-go,,!offer:audit-base-pay-as-you-go,,mainnet,,,,,,,,,,,,
audit-base-pro,,!offer:audit-base-pro,,mainnet,,,,,,,,,,,,
audit-base-starter,,!offer:audit-base-starter,,mainnet,,,,,,,,,,,,
audit-base-team,,!offer:audit-base-team,,mainnet,,,,,,,,,,,,
beosin-kyt,,!offer:beosin-kyt,,mainnet,,,,,,,,,,,,
beosin-smart-contract-audit,,!offer:beosin-smart-contract-audit,,mainnet,,,,,,,,,,,,
beosin-trace,,!offer:beosin-trace,,mainnet,,,,,,,,,,,,
blockaid,,!offer:blockaid,,mainnet,,,,,,,,,,,,
blocksec-phalcon,,!offer:blocksec-phalcon,,mainnet,,,,,,,,,,,,
certora-gambit,,!offer:certora-gambit,,mainnet,,,,,,,,,,,,
certora-prover-basic,,!offer:certora-prover-basic,,mainnet,,,,,,,,,,,,
certora-prover-enterprise,,!offer:certora-prover-enterprise,,mainnet,,,,,,,,,,,,
certora-prover-premium,,!offer:certora-prover-premium,,mainnet,,,,,,,,,,,,
chainsecurity,,!offer:chainsecurity,,mainnet,,,,,,,,,,,,
chimera,,!offer:chimera,,mainnet,,,,,,,,,,,,
consensys-diligence-smart-contract-audit,,!offer:consensys-diligence-smart-contract-audit,,mainnet,,,,,,,,,,,,
cyvers,,!offer:cyvers,,mainnet,,,,,,,,,,,,
dedaub-security-suite-enterprise,,!offer:dedaub-security-suite-enterprise,,mainnet,,,,,,,,,,,,
dedaub-security-suite-free,,!offer:dedaub-security-suite-free,,mainnet,,,,,,,,,,,,
dedaub-security-suite-team,,!offer:dedaub-security-suite-team,,mainnet,,,,,,,,,,,,
echidna,,!offer:echidna,,mainnet,,,,,,,,,,,,
forta,,!offer:forta,,mainnet,,,,,,,,,,,,
goplus-beginner,,!offer:goplus-beginner,,mainnet,,,,,,,,,,,,
goplus-free,,!offer:goplus-free,,mainnet,,,,,,,,,,,,
goplus-growth,,!offer:goplus-growth,,mainnet,,,,,,,,,,,,
goplus-pro,,!offer:goplus-pro,,mainnet,,,,,,,,,,,,
goplus-test,,!offer:goplus-test,,mainnet,,,,,,,,,,,,
goplus-ultra,,!offer:goplus-ultra,,mainnet,,,,,,,,,,,,
hacken-blockchain-protocol-audit,,!offer:hacken-blockchain-protocol-audit,,mainnet,,,,,,,,,,,,
hacken-smart-contract-audit,,!offer:hacken-smart-contract-audit,,mainnet,,,,,,,,,,,,
halborn-blockchain-layer-1-assessment,,!offer:halborn-blockchain-layer-1-assessment,,mainnet,,,,,,,,,,,,
halborn-smart-contract-assessment,,!offer:halborn-smart-contract-assessment,,mainnet,,,,,,,,,,,,
halmos,,!offer:halmos,,mainnet,,,,,,,,,,,,
hevm,,!offer:hevm,,mainnet,,,,,,,,,,,,
hypernative-platform,,!offer:hypernative-platform,,mainnet,,,,,,,,,,,,
kontrol,,!offer:kontrol,,mainnet,,,,,,,,,,,,
kudelski-architecture-review,,!offer:kudelski-architecture-review,,mainnet,,,,,,,,,,,,
kudelski-smart-contract-secure-code-review,,!offer:kudelski-smart-contract-secure-code-review,,mainnet,,,,,,,,,,"EVM, Solidity",,
medusa,,!offer:medusa,,mainnet,,,,,,,,,,,,
mythril,,!offer:mythril,,mainnet,,,,,,,,,,,,
openzeppelin-audits,,!offer:openzeppelin-audits,,mainnet,,,,,,,,,,,,
peckshield-audit,,!offer:peckshield-audit,,mainnet,,,,,,,,,,,,
polyzoa,,!offer:polyzoa,,mainnet,,,,,,,,,,,,
revoke-cash,,!offer:revoke-cash,,mainnet,,,,,,,,,,,,
salus-audit,,!offer:salus-audit,,mainnet,,,,,,,,,,,,
salus-zk-solution,,!offer:salus-zk-solution,,mainnet,,,,,,,,,,,,
scam-sniffer-standard,,!offer:scam-sniffer-standard,,mainnet,,,,,,,,,,,,
scam-sniffer-startup,,!offer:scam-sniffer-startup,,mainnet,,,,,,,,,,,,
slither,,!offer:slither,,mainnet,,,,,,,,,,,,
slowmist-audit,,!offer:slowmist-audit,,mainnet,,,,,,,,,,,,
solidityscan-on-demand,,!offer:solidityscan-on-demand,,mainnet,,,,,,,,,,,,
solidityscan-pro,,!offer:solidityscan-pro,,mainnet,,,,,,,,,,,,
solidityscan-starter,,!offer:solidityscan-starter,,mainnet,,,,,,,,,,,,
wake-security,,!offer:wake-security,,mainnet,,,,,,,,,,,,
ziion-linux-distro,,!offer:ziion-linux-distro,,mainnet,,,,,,,,,,,,
