slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,averageLatency,verifiedBlocksBehindAvg,actionButtons
1rpc-astar-free,1rpc,Free,Recent-State,astar,0,0,best-effort,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""substrate""]","[""20,000 protected TXs per day""]","[""Privacy Protected Relays""]",,"[""Multiple Regions""]",,,,"[{""label"":""Send Requests"", ""url"":""https://1rpc.io/astr"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.1rpc.io/"", ""type"":""external""}]"
1rpc-astar-pay-as-you-go,1rpc,Pay-as-you-go,Recent-State,astar,$9.9-$29.90,0,99.90%,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""substrate""]","[""40,000 - 100,000 protected transactions per day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]",,"[""Multiple Regions""]",,,,"[{""label"":""Buy"", ""url"":""https://www.1rpc.io/#pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.1rpc.io/"", ""type"":""external""}]"
1rpc-astar-enterprise,1rpc,Enterprise,Recent-State,astar,custom,custom,custom,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""substrate""]",,"[""Privacy Protected Relays"", ""Transaction Sanitizers""]",,"[""Multiple Regions""]",,,,"[{""label"":""Buy"", ""url"":""https://www.1rpc.io/#pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.1rpc.io/"", ""type"":""external""}]"
alchemy-astar-free-archive,Alchemy,Free,Full Archive,astar,$0.00,$0 per 1M request,,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""substrate""]","[""1500 req/min""]","[""TX simulation""]","[""Basic monitoring"",""Usage analytics""]",,,,,"[{""label"":""Send Requests"", ""url"":""https://astar-mainnet.g.alchemy.com/public"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://www.alchemy.com/docs"", ""type"":""external""}]"
alchemy-astar-pay-as-you-go-archive,Alchemy,Pay-as-you-go,Full Archive,astar,$0.00,$0.40 per1M CUs,,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""substrate""]","[""18000 req/s""]","[""TX simulation""]","[""Usage analytics"",""Custom alerts"",""Reporting""]",,,,,"[{""label"":""Buy"", ""url"":""https://auth.alchemy.com/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://www.alchemy.com/docs"", ""type"":""external""}]"
alchemy-astar-enterprise-archive,Alchemy,Enterprise,Full Archive,astar,Custom,custom,custom,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""substrate""]","[""custom limits""]","[""TX simulation""]","[""Advanced analytics"",""Custom dashboards"",""Engineering support""]",,,,,"[{""label"":""Buy"", ""url"":""https://auth.alchemy.com/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://www.alchemy.com/docs"", ""type"":""external""}]"
allthatnode-astar-free-archive,AllThatNode,Free,Full Archive,astar,$0.00,$0.00,,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""substrate""]","[""9000 CU/min""]","[""DDoS Protection"",""IP Protection"",""TLS"",""SOC 2 compliant""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",,,,"[{""label"":""Website"", ""url"":""https://www.allthatnode.com/login.dsrv"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.allthatnode.com/"", ""type"":""external""}]"
allthatnode-astar-pay-as-you-go-archive,AllThatNode,Pay-as-you-go,Full Archive,astar,$29/$139,$0.58/$0.56/ per 1M CUs,99.90%,,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""substrate""]","[""20000 CU/min"",""120000 CU/min""]","[""DDoS Protection"",""IP Protection"",""TLS"",""SOC 2 compliant""]","[""Usage analytics"",""Custom alerts"",""Reporting""]","[""Global""]",,,,"[{""label"":""Buy"", ""url"":""https://www.allthatnode.com/login.dsrv"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.allthatnode.com/"", ""type"":""external""}]"
allthatnode-astar-enterprise-archive,AllThatNode,Enterprise,Full Archive,astar,Custom,Custom pricing,custom,,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""substrate""]","[""custom limits""]","[""DDoS Protection"",""IP Protection"",""TLS"",""SOC 2 compliant"", ""Dedicated infrastructure""]","[""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",,,,"[{""label"":""Buy"", ""url"":""https://www.allthatnode.com/login.dsrv"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.allthatnode.com/"", ""type"":""external""}]"
blast-astar-free-archive,Blast,Free,Full Archive,astar,0,$0,,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""substrate""]","[""12M requests per month"",""40 requests per second"", ""1 project""]","[""Methods filtering"", ""IP filtering"", ""Domains filtering"",""Rate-limiting""]","[""API calls"", ""Calls per chain"", ""Calls per method""]",,,,,"[{""label"":""Website"", ""url"":""https://astar.public.blastapi.io"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blastapi.io/"", ""type"":""external""}]"
