slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
1rpc-mainnet-developer-recent-state,,!offer:1rpc-developer-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-personal-recent-state,,!offer:1rpc-personal-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-public-recent-state,,!offer:1rpc-public-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-starter-recent-state,,!offer:1rpc-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-recent-state,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/x-z/#zksync-era)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/x-z/#zksync-era)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-testnet-free-recent-state,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/x-z/#zksync-era)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
ankr-testnet-pay-as-you-go-recent-state,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/x-z/#zksync-era)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
chainbase-mainnet-developer-custom,,!offer:chainbase-developer-custom,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainbase-mainnet-free-custom,,!offer:chainbase-free-custom,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
