slug,provider,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,license,price,trial,starred,dependencies
blockdaemon-sdk-enterprise,!provider:blockdaemon-sdk-enterprise,,,,,,,,,,,,
blockdaemon-sdk-free,!provider:blockdaemon-sdk-free,,,,,,,,,,,,
blockdaemon-sdk-growth,!provider:blockdaemon-sdk-growth,,,,,,,,,,,,
blockdaemon-sdk-starter,!provider:blockdaemon-sdk-starter,,,,,,,,,,,,
connectkit,!provider:connectkit,,,,,,,,,,,,
foundry,!provider:foundry,,,,,,,,,,,,
fvm-assemblyscript-sdk,FVM AssemblyScript SDK,"[""[GitHub](https://github.com/Zondax/fvm-as-sdk)""]",SDK,TBD,"[""SDK""]",AssemblyScript SDK for Filecoin Virtual Machine smart contract development,Free,,TBD,$0,FALSE,FALSE,
fvm-powergate-textile,FVM Powergate Textile,"[""[Docs](https://docs.textile.io/powergate/)"",""[GitHub](https://github.com/textileio/powergate)""]",SDK,TBD,"[""SDK""]",Textile Powergate SDK for building on Filecoin,Free,,TBD,$0,FALSE,FALSE,
magic,!provider:magic,,,,,,,,,,,,
rubic-sdk,!provider:rubic-sdk,,,,,,,,,,,,
