slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
defillama-mainnet,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/somnia)""]",mainnet,,,,,,,,,
dune-mainnet-analyst,,!offer:dune-analyst,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,,,,,,
dune-mainnet-free,,!offer:dune-free,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,,,,,,
dune-mainnet-plus,,!offer:dune-plus,"[""[Dashboard](https://dune.com/blockchains/somnia)""]",mainnet,,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/somnia)""]",mainnet,,,,,,,,,
nansen-mainnet,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=somnia)""]",mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/somnia)""]",mainnet,,,,,,,,,
