slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
1rpc-mainnet-developer-recent-state,,!offer:1rpc-developer-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-personal-recent-state,,!offer:1rpc-personal-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-public-recent-state,,!offer:1rpc-public-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-starter-recent-state,,!offer:1rpc-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-free-recent-state,,!offer:allthatnode-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-recent-state,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/kaia/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/k-r/#kaia)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/chains-list/kaia/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/k-r/#kaia)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-recent-state,,!offer:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/kaia/)"",""[Docs](https://docs.kaia.io/references/public-en/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-testnet-free-recent-state,,!offer:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/kaia/)"",""[Docs](https://docs.kaia.io/references/public-en/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-developer-recent-state,,!offer:chainstack-developer-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
drpc-mainnet-public-recent-state,,!offer:drpc-public-recent-state,"[""[Website](https://drpc.org?ref=7100cc)"",""[Docs](https://docs.kaia.io/references/public-en/)""]",,,,,,mainnet,,,,,"[""kaia"",""klay"",""eth"",""net""]",,,,,,"https://drpc.org/chainlist/klaytn-mainnet-rpc",,,,,,,,
getblock-mainnet-free-recent-state,,!offer:getblock-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-recent-state,,!offer:quicknode-build-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-free-recent-state,,!offer:tatum-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
