slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
0xrpc-mainnet-free-recent-state,0xrpc,,"[""[Docs](https://0xrpc.github.io/)""]",,Free,Pruned,RPC,EVM JSON-RPC,mainnet,$0,$0,,,,,,,,FALSE,FALSE,,,,,,,,
1rpc-mainnet-free-recent-state,,!offer:1rpc-free-recent-state,"[""[Website](https://www.1rpc.io/)"",""[Docs](https://docs.1rpc.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-pay-as-you-go-recent-state,,!offer:1rpc-pay-as-you-go-recent-state,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-mainnet-public-recent-state,,!offer:1rpc-public-recent-state,"[""[Website](https://www.1rpc.io/)"",""[Docs](https://docs.1rpc.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
1rpc-testnet-pay-as-you-go-recent-state,,!offer:1rpc-pay-as-you-go-recent-state,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
alchemy-free-recent-state-mainnet,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/base)"", ""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-free-recent-state-testnet,,!offer:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/base-sepolia)"", ""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
alchemy-pay-as-you-go-recent-state-mainnet,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"", ""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
alchemy-pay-as-you-go-recent-state-testnet,,!offer:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"", ""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-dedicated-full-archive,,!offer:allthatnode-dedicated-full-archive,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://www.allthatnode.com/protocol/base.dsrv)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-dedicated-recent-state,,!offer:allthatnode-dedicated-recent-state,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://www.allthatnode.com/protocol/base.dsrv)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-free-full-archive,,!offer:allthatnode-free-full-archive,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-free-recent-state,,!offer:allthatnode-free-recent-state,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-scale-full-archive,,!offer:allthatnode-scale-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-scale-recent-state,,!offer:allthatnode-scale-recent-state,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-starter-full-archive,,!offer:allthatnode-starter-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-mainnet-starter-recent-state,,!offer:allthatnode-starter-recent-state,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-dedicated-full-archive,,!offer:allthatnode-dedicated-full-archive,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://www.allthatnode.com/protocol/base.dsrv)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-dedicated-recent-state,,!offer:allthatnode-dedicated-recent-state,"[""[Website](https://www.allthatnode.com/dedicatednode.dsrv)"",""[Docs](https://www.allthatnode.com/protocol/base.dsrv)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
base-rpc-free-recent-state-mainnet,Base,,"[""[Website](https://www.base.org/)""]",,Free,Pruned,RPC,EVM JSON-RPC,mainnet,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""NFT API"",""Token API"",""Wallet API"",""Blockchain API"",""Streams API""]","[""Rate-limited""]","[""Advanced monitoring"",""Decentralization"",""Hardened infrastructure measures""]","[""Real-time monitoring"",""Slack"",""Telegram"",""Email""]","[""Global""]",,,
base-rpc-free-recent-state-testnet,Base,,"[""[Website](https://www.base.org/)""]",,Free,Pruned,RPC,EVM JSON-RPC,testnet,$0,$0,NULL,NULL,NULL,,,,,FALSE,FALSE,"[""NFT API"",""Token API"",""Wallet API"",""Blockchain API"",""Streams API""]","[""Rate-limited""]","[""Advanced monitoring"",""Decentralization"",""Hardened infrastructure measures""]","[""Real-time monitoring"",""Slack"",""Telegram"",""Email""]","[""Global""]",,,
blockdaemon-mainnet-dedicated-full-archive,,!offer:blockdaemon-dedicated-full-archive,"[""[Website](https://www.blockdaemon.com/base)"",""[Docs](https://docs.blockdaemon.com/docs/base-nodes)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
