slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
across-mainnet,,!offer:across,,mainnet,,,,,,,,,,,,,,,,,,
across-testnet,,!offer:across,,testnet,,,,,,,,,,,,,,,,,,
allbridge-core-mainnet,,!offer:allbridge-core,,mainnet,,,,,,,,,,,,,,,,,,
asterizm-mainnet,,!offer:asterizm,,mainnet,,,,,,,,,,,,,,,,,,
axelar-mainnet,,!offer:axelar,,mainnet,,,,,,,,,,,,,,,,,,
celer-mainnet,,!offer:celer,,mainnet,,,,,,,,,,,,,,,,,,
chainlink-bridge-mainnet,,!offer:chainlink-bridge,,mainnet,,,,,,,,,,,,,,,,,,
chainlink-bridge-testnet,,!offer:chainlink-bridge,,testnet,,,,,,,,,,,,,,,,,,
chainport-mainnet,,!offer:chainport,,mainnet,,,,,,,,,,,,,,,,,,
chainspot-mainnet,,!offer:chainspot,,mainnet,,,,,,,,,,,,,,,,,,
connext-mainnet,,!offer:connext,,mainnet,,,,,,,,,,,,,,,,,,
crosscurve-mainnet,,!offer:crosscurve,,mainnet,,,,,,,,,,,,,,,,,,
debridge-mainnet,,!offer:debridge,,mainnet,,,,,,,,,,,,,,,,,,
defiway-bridge-mainnet,,!offer:defiway-bridge,,mainnet,,,,,,,,,,,,,,,,,,
ecoportal-mainnet,,!offer:ecoportal,"[""[Bridge](https://portal.eco.com/)"",""[Docs](https://eco.com/docs/getting-started/introduction/what-is-eco)""]",mainnet,,,,,,,,,,,,,,,,,,
garden-mainnet,,!offer:garden,,mainnet,,,,,,,,,,,,,,,,,,
garden-testnet,,!offer:garden,,testnet,,,,,,,,,,,,,,,,,,
hashport-mainnet,,!offer:hashport,,mainnet,,,,,,,,,,,,,,,,,,
hop-mainnet,,!offer:hop,,mainnet,,,,,,,,,,,,,,,,,,
hop-testnet,,!offer:hop,,testnet,,,,,,,,,,,,,,,,,,
hyperlane-mainnet,,!offer:hyperlane,,mainnet,,,,,,,,,,,,,,,,,,
hyperlane-testnet,,!offer:hyperlane,,testnet,,,,,,,,,,,,,,,,,,
interport-mainnet,,!offer:interport,,mainnet,,,,,,,,,,,,,,,,,,
jumper-mainnet,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,,
layerswap-mainnet,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,,
layerzero-mainnet,,!offer:layerzero,"[""[Bridge](https://layerzero.bridge.harmony.one/one)"",""[Docs](https://docs.layerzero.network/v2)""]",mainnet,,,,,,,,,,,,,,,,,,
mayan-mainnet,,!offer:mayan,,mainnet,,,,,,,,,,,,,,,,,,
meson-mainnet,,!offer:meson,,mainnet,,,,,,,,,,,,,,,,,,
messina-mainnet,,!offer:messina,"[""[Bridge](https://messina.one/bridge)"",""[Docs](https://messinaone.gitbook.io/messina/)""]",mainnet,,,,,,,,,,,,,,,,,,
okutrade-mainnet,,!offer:okutrade,,mainnet,,,,,,,,,,,,,,,,,,
orbiter-mainnet,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,,
orbiter-testnet,,!offer:orbiter,,testnet,,,,,,,,,,,,,,,,,,
owlto-mainnet,,!offer:owlto,,mainnet,,,,,,,,,,,,,,,,,,
pancakeswap-bridge-mainnet,,!offer:pancakeswap-bridge,,mainnet,,,,,,,,,,,,,,,,,,
pheasant-mainnet,,!offer:pheasant,,mainnet,,,,,,,,,,,,,,,,,,
relay-mainnet,,!offer:relay,,mainnet,,,,,,,,,,,,,,,,,,
rhinofi-mainnet,,!offer:rhinofi,,mainnet,,,,,,,,,,,,,,,,,,
routerprotocol-mainnet,,!offer:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,,
rubic-mainnet,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,,
safeswap-mainnet,,!offer:safeswap,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel-mainnet,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
squid-mainnet,,!offer:squid,,mainnet,,,,,,,,,,,,,,,,,,
stargate-mainnet,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
superbridge-mainnet,,!offer:superbridge,,mainnet,,,,,,,,,,,,,,,,,,
superbridge-testnet,,!offer:superbridge,,testnet,,,,,,,,,,,,,,,,,,
symbiosis-mainnet,,!offer:symbiosis,,mainnet,,,,,,,,,,,,,,,,,,
synapse-mainnet,,!offer:synapse,,mainnet,,,,,,,,,,,,,,,,,,
transporter-mainnet,,!offer:transporter,,mainnet,,,,,,,,,,,,,,,,,,
umbria-mainnet,,!offer:umbria,,mainnet,,,,,,,,,,,,,,,,,,
universalx-mainnet,,!offer:universalx,"[""[Site](https://universalx.app)"",""[Docs](https://universalx.app)""]",mainnet,,,,,,,,,,,,,,,,,,
valuerouter-mainnet,,!offer:valuerouter,"[""[Bridge](https://app.valuerouter.com)"",""[Docs](https://docs.valuerouter.com/)""]",mainnet,,,,,,,,,,,,,,,,,,
veda-mainnet,,!offer:veda,"[""[Site](https://veda.tech)"",""[Docs](https://veda.tech)""]",mainnet,,,,,,,,,,,,,,,,,,
wanchain-mainnet,,!offer:wanchain,,mainnet,,,,,,,,,,,,,,,,,,
wormhole-mainnet,,!offer:wormhole,,mainnet,,,,,,,,,,,,,,,,,,
wormhole-testnet,,!offer:wormhole,,testnet,,,,,,,,,,,,,,,,,,
zkbridge-mainnet,,!offer:zkbridge,"[""[Bridge](https://zkbridge.com/token)"",""[Docs](https://docs.zkbridge.com/)""]",mainnet,,,,,,,,,,,,,,,,,,
